vote20jb,apppres5,taxecon,billtax,trade2,trade4,richpoor2,immignum,refugees,dreamer,wall5,pathway,famsep,freecol,diversity5,gw1,gw2,prek,science,rr2,age,gender,educ,marstat,race,employ,faminc_new,ideology,party_id,vote16post,religpew,region,pk_cjus_correct,pk_germ_correct,pk_sen,pk_spend,compl_data$weight,ability
2,1,4,2,2,2,1,5,3,2,0,4,5,2,1,1,1,1,3,5,50,1,high_school,civil,hispanic,full_time,9,conservative,democrat,clinton,christian,south,0,0,0,1,1.34719693063187,-1.0952751615565093
1,0,2,5,2,2,4,2,3,2,1,2,4,5,1,1,1,3,4,2,77,1,post_grad,married,white,retired,10,conservative,republican,trump,christian,south,1,1,1,0,0.780822076219216,0.9023112506587095
2,0,7,1,3,1,1,4,4,2,0,3,5,6,1,1,1,1,3,5,65,0,high_school,married,white,full_time,8,moderate,democrat,clinton,christian,south,0,0,0,0,0.966366930694957,-1.0952751615565093
1,1,3,4,2,2,3,3,1,2,1,1,3,3,0,3,4,2,5,4,40,1,some_college,never_married,black,unemployed,1,moderate,democrat,clinton,christian,northeast,0,0,0,0,1.10348514780374,-1.0952751615565093
1,1,1,6,2,2,5,4,3,2,1,4,3,7,1,3,3,6,2,2,79,0,post_grad,widowed,white,part_time,4,conservative,republican,trump,christian,south,1,1,1,0,1.09069730256741,0.9023112506587095
2,0,3,3,3,2,4,4,2,2,0,2,5,2,1,2,2,3,4,1,77,1,four_yr_college,married,black,retired,5,moderate,democrat,clinton,no_rel,northeast,1,1,1,0,1.02140871415171,0.9023112506587095
2,0,4,4,3,3,3,2,4,2,0,1,5,4,1,3,3,4,3,1,19,0,some_college,never_married,white,student,3,liberal,democrat,no_vote,christian,midwest,0,0,1,1,0.964514474045239,-0.6196132327347812
2,0,6,1,4,2,1,2,1,2,0,2,5,3,1,1,1,1,5,1,25,0,post_grad,never_married,white,full_time,4,very_liberal,democrat,clinton,no_rel,northeast,1,1,1,1,0.83469258858232,0.9023112506587095
1,1,3,1,5,4,4,7,7,1,1,5,1,7,0,2,2,5,1,5,20,1,some_college,never_married,white,student,4,very conservative,republican,no_vote,christian,south,1,1,1,1,1.53541542020853,0.9023112506587095
2,0,6,1,3,2,1,2,1,2,0,2,5,2,1,1,1,6,5,3,39,1,high_school,divorced,white,full_time,3,liberal,democrat,clinton,no_rel,south,0,1,0,0,1.32458088383641,-0.3254948128884364
1,1,2,5,4,2,5,2,1,2,1,5,4,6,1,4,4,7,4,2,75,0,post_grad,divorced,other_race,retired,6,very_liberal,democrat,no_vote,christian,south,1,1,1,1,0.848213370657561,0.9023112506587095
2,0,5,4,2,5,2,3,5,2,1,5,2,5,1,1,2,3,2,1,25,0,two_yr_college,married,white,full_time,10,moderate,independent,clinton,no_rel,west,0,0,1,0,1.08428147456979,-0.6196132327347812
1,1,1,7,2,2,3,4,5,2,1,4,3,7,1,5,3,5,1,3,69,1,two_yr_college,married,white,retired,9,conservative,republican,trump,christian,west,1,1,1,1,0.891904784237684,0.9023112506587095
2,0,4,4,2,2,2,4,4,2,0,1,5,4,0,3,3,2,3,2,51,0,high_school,never_married,black,full_time,5,moderate,democrat,clinton,christian,midwest,0,0,0,0,1.00508399913684,-1.0952751615565093
4,0,4,5,3,2,5,4,1,2,0,3,5,4,0,3,4,4,3,3,47,0,high_school,married,hispanic,other_empl,3,conservative,democrat,clinton,other_rel,south,0,0,0,1,1.9846866466803,-1.0952751615565093
4,0,5,3,3,4,3,7,5,2,0,2,3,1,1,2,2,3,2,1,64,0,post_grad,never_married,black,part_time,2,liberal,democrat,clinton,christian,northeast,0,0,0,0,1.07625987865926,-1.0952751615565093
