"vote20jb","apppres5","taxecon","billtax","trade2","trade4","richpoor2","immignum","refugees","dreamer","wall5","pathway","famsep","freecol","diversity5","gw1","gw2","prek","science","rr2","age","gender","educ","marstat","race","employ","faminc_new","ideology","party_id","vote16post","religpew","region","compl_data$weight","ability"
"2","1","4","2","2","2","1","5","3","2","0","4","5","2","1","1","1","1","3","5",50,"1","high_school","civil","hispanic","full_time","9","conservative","democrat","clinton","christian","south",1.34719693063187,0.49232750386146
"1","0","2","5","2","2","4","2","3","2","1","2","4","5","1","1","1","3","4","2",77,"1","post_grad","married","white","retired","10","conservative","republican","trump","christian","south",0.780822076219216,0.49232750386146
"2","0","7","1","3","1","1","4","4","2","0","3","5","6","1","1","1","1","3","5",65,"0","high_school","married","white","full_time","8","moderate","democrat","clinton","christian","south",0.966366930694957,-0.866697231359771
"1","1","3","4","2","2","3","3","1","2","1","1","3","3","0","3","4","2","5","4",40,"1","some_college","never_married","black","unemployed","1","moderate","democrat","clinton","christian","northeast",1.10348514780374,-0.866697231359771
"1","1","1","6","2","2","5","4","3","2","1","4","3","7","1","3","3","6","2","2",79,"0","post_grad","widowed","white","part_time","4","conservative","republican","trump","christian","south",1.09069730256741,0.49232750386146
"2","0","3","3","3","2","4","4","2","2","0","2","5","2","1","2","2","3","4","1",77,"1","four_yr_college","married","black","retired","5","moderate","democrat","clinton","no_rel","northeast",1.02140871415171,0.49232750386146
"2","0","4","4","3","3","3","2","4","2","0","1","5","4","1","3","3","4","3","1",19,"0","some_college","never_married","white","student","6","liberal","democrat","no_vote","christian","midwest",0.964514474045239,-0.387596693726537
"2","0","6","1","4","2","1","2","1","2","0","2","5","3","1","1","1","1","5","1",25,"0","post_grad","never_married","white","full_time","4","very_liberal","democrat","clinton","no_rel","northeast",0.83469258858232,0.829275858480006
"1","1","3","1","5","4","4","7","7","1","1","5","1","7","0","2","2","5","1","5",20,"1","some_college","never_married","white","student","4","very conservative","republican","no_vote","christian","south",1.53541542020853,0.829275858480006
"2","0","6","1","3","2","1","2","1","2","0","2","5","2","1","1","1","6","5","3",39,"1","high_school","divorced","white","full_time","3","liberal","democrat","clinton","no_rel","south",1.32458088383641,-0.0326740388823356
"1","1","2","5","4","2","5","2","1","2","1","5","4","6","1","4","4","7","4","2",75,"0","post_grad","divorced","other_race","retired","7","very_liberal","democrat","no_vote","christian","south",0.848213370657561,0.829275858480006
"2","0","5","4","2","5","2","3","5","2","1","5","2","5","1","1","2","3","2","1",25,"0","two_yr_college","married","white","full_time","10","moderate","independent","clinton","no_rel","west",1.08428147456979,-0.496169414435352
"1","1","1","7","2","2","3","4","5","2","1","4","3","7","1","5","3","5","1","3",69,"1","two_yr_college","married","white","retired","9","conservative","republican","trump","christian","west",0.891904784237684,0.829275858480006
"2","0","4","4","2","2","2","4","4","2","0","1","5","4","0","3","3","2","3","2",51,"0","high_school","never_married","black","full_time","2","moderate","democrat","clinton","christian","midwest",1.00508399913684,-0.866697231359771
"4","0","4","5","3","2","5","4","1","2","0","3","5","4","0","3","4","4","3","3",47,"0","high_school","married","hispanic","other_empl","3","conservative","democrat","clinton","other_rel","south",1.9846866466803,-0.637029270556552
"4","0","5","3","3","4","3","7","5","2","0","2","3","1","1","2","2","3","2","1",64,"0","post_grad","never_married","black","part_time","2","liberal","democrat","clinton","christian","northeast",1.07625987865926,-0.496169414435352
"1","1","1","7","2","2","5","5","7","1","1","4","2","7","0","5","5","7","1","5",65,"1","four_yr_college","married","native_american","retired","11","very conservative","republican","trump","mormon","midwest",0.663904537696459,0.185616560394241
"1","1","1","7","1","1","5","7","2","1","1","4","1","7","0","5","5","4","4","2",82,"1","high_school","married","white","retired","3","very conservative","republican","trump","christian","northeast",0.878328109180257,0.49232750386146
"2","0","4","4","3","3","3","1","1","2","0","1","5","6","1","2","1","2","5","1",40,"0","four_yr_college","never_married","black","full_time","8","moderate","democrat","clinton","no_rel","south",1.2643077984045,0.829275858480006
"2","0","4","1","4","4","2","4","4","2","1","2","5","2","1","1","1","1","2","2",65,"0","some_college","divorced","white","part_time","3","liberal","democrat","clinton","no_rel","midwest",1.03170391458116,-0.637029270556552
"1","1","1","6","2","2","4","5","4","1","1","2","2","7","0","4","5","5","3","5",69,"1","high_school","married","white","retired","2","conservative","republican","trump","no_rel","south",0.971402016649825,-0.866697231359771
"1","1","1","2","2","4","3","5","4","1","1","2","4","6","1","4","2","4","1","4",72,"0","two_yr_college","divorced","white","retired","2","very conservative","republican","trump","christian","west",0.939321412825532,-0.249543902218619
"2","0","4","4","3","2","3","4","4","2","1","2","5","5","1","1","1","3","4","2",76,"1","some_college","civil","white","retired","6","moderate","democrat","clinton","christian","south",0.88916489741815,0.185616560394241
"1","1","2","7","4","3","5","4","4","1","1","1","3","7","0","5","3","7","2","5",39,"0","four_yr_college","widowed","white","full_time","6","conservative","republican","trump","christian","northeast",1.02274263069667,0.185616560394241
"2","0","7","1","4","4","1","2","1","2","0","1","5","2","1","1","1","1","5","2",75,"0","four_yr_college","widowed","mixed","retired","2","very_liberal","democrat","clinton","other_rel","west",1.01184109114119,0.49232750386146
"1","1","1","6","2","2","4","4","2","2","1","2","5","7","0","4","1","7","3","2",68,"1","post_grad","married","hispanic","full_time","8","conservative","independent","trump","mormon","midwest",0.537829830869615,0.49232750386146
"1","1","3","2","2","1","3","6","7","2","0","2","5","2","0","3","3","1","1","3",38,"0","some_college","married","black","full_time","4","moderate","democrat","trump","christian","south",0.684543115579765,-0.866697231359771
"2","0","4","2","3","2","4","4","1","2","0","1","5","7","1","2","1","6","5","3",79,"0","high_school","widowed","white","retired","4","moderate","republican","trump","christian","northeast",0.968155932229058,-0.496169414435352
"2","0","5","4","3","2","5","4","1","2","0","2","5","3","1","1","1","1","5","2",81,"0","four_yr_college","widowed","hispanic","retired","6","very_liberal","democrat","clinton","no_rel","west",0.749070570522022,0.49232750386146
"2","0","7","2","1","1","2","1","1","2","0","1","5","2","1","1","1","1","4","1",54,"1","post_grad","divorced","black","full_time","3","moderate","democrat","clinton","christian","south",0.933382507604407,0.829275858480006
"1","1","1","7","1","2","3","4","3","2","1","2","3","7","0","5","4","7","4","4",75,"1","high_school","married","white","retired","9","conservative","independent","trump","christian","midwest",0.971402016649825,0.829275858480006
"2","0","3","2","3","2","2","3","1","2","0","1","5","5","1","1","1","1","2","2",74,"0","post_grad","widowed","white","retired","8","liberal","democrat","clinton","no_rel","south",1.1549066711491,0.829275858480006
"1","1","4","7","2","2","3","5","3","2","1","3","3","4","0","3","3","3","1","4",75,"0","high_school","married","white","retired","4","liberal","republican","trump","no_rel","midwest",0.929783697332345,-0.866697231359771
"1","1","1","7","2","1","5","7","7","1","1","2","1","7","0","5","3","7","2","5",79,"1","high_school","married","white","retired","13","very conservative","republican","trump","christian","south",0.878328109180257,0.310796619831025
"1","1","1","7","1","1","5","6","6","2","1","5","3","7","0","4","4","6","3","5",83,"1","post_grad","married","white","retired","10","very conservative","republican","trump","christian","south",0.817754440786381,0.829275858480006
"2","0","7","1","4","2","1","2","2","2","0","1","5","2","1","1","1","1","5","4",74,"1","post_grad","married","white","retired","11","liberal","democrat","clinton","no_rel","south",0.826789085004023,0.49232750386146
"2","0","7","1","4","1","2","2","2","2","0","2","5","4","1","1","1","2","4","2",76,"1","four_yr_college","married","white","retired","12","moderate","democrat","clinton","no_rel","south",1.02441840964603,0.49232750386146
"1","1","4","3","3","3","3","4","6","2","0","2","3","7","0","5","4","7","3","4",72,"1","four_yr_college","married","white","retired","8","moderate","republican","trump","no_rel","west",0.904529295661614,-0.105261721136385
"1","1","1","4","1","1","4","4","4","2","1","1","3","7","0","1","2","7","3","2",79,"1","four_yr_college","married","white","retired","6","conservative","republican","trump","no_rel","west",0.947312929381105,-0.0326740388823356
"1","1","1","7","2","1","5","4","4","2","1","5","4","7","1","5","5","4","5","5",82,"1","some_college","married","white","retired","8","very conservative","republican","trump","other_rel","west",0.915515272952024,0.829275858480006
"1","1","3","7","2","2","5","6","6","1","1","5","2","7","1","4","3","7","2","5",62,"1","four_yr_college","married","native_american","retired","6","very conservative","republican","trump","christian","west",0.663904537696459,-0.0381838482328011
"1","1","2","6","2","1","5","4","5","2","1","2","2","7","1","5","1","6","4","4",78,"1","two_yr_college","married","white","part_time","11","moderate","republican","trump","no_rel","west",0.928713753877035,0.49232750386146
