x01_1,x01_2,x01_3,x01_4,x01_5,x01_6,eu_vote,party_id,income,gender,religion,age,ethnic_group,education,marital_status,social_class,region,wt_vote,ability
0,0,0,0,1,1,1,1,3,2,0,1,1,0,3,2,East Midlands,1.11075282986254,-0.31929598673165877
1,0,1,0,1,1,2,1,2,1,1,4,3,1,3,2,East Midlands,0.561521114259241,-0.31929598673165877
1,0,1,0,0,0,1,1,3,1,0,5,1,0,4,2,East Midlands,0.840834781747337,-1.3322879951954447
1,1,0,0,0,1,1,1,9,2,1,6,1,0,1,2,East Midlands,0.919754800604644,-0.350184702862402
1,1,1,1,1,1,2,1,10,2,1,6,1,4,1,2,East Midlands,0.651745286901378,1.0073761227189837
1,0,1,0,1,1,2,0,3,2,1,2,1,5,1,1,East Midlands,0.844501416833825,-0.31929598673165877
1,1,1,0,1,0,2,2,11,2,1,7,1,0,1,2,East Midlands,1.15372581129023,-0.26893785481927324
0,0,1,0,0,1,1,7,3,1,1,6,1,0,1,1,East Midlands,1.01346575988269,-0.8119912597841162
1,1,1,0,1,1,2,2,4,1,1,6,1,0,1,1,East Midlands,1.7244577964888,0.10198396588856312
1,0,1,0,1,0,0,2,12,2,0,3,1,3,1,4,East Midlands,0.83151152986019,-0.7159648149255413
1,1,1,1,1,1,1,2,9,1,1,5,1,3,2,4,East Midlands,1.12435822087602,1.0073761227189837
1,0,1,0,1,1,2,1,8,1,0,1,1,4,3,2,East Midlands,0.599612658882043,-0.31929598673165877
1,1,1,0,1,1,2,1,7,2,1,7,1,2,1,2,East Midlands,1.00726583016452,0.10198396588856312
1,0,0,0,1,1,1,2,13,2,1,4,1,4,1,4,East Midlands,0.946512225573074,-0.31929598673165877
1,1,1,1,1,1,2,2,5,1,0,8,1,0,4,2,East Midlands,0.631333229219238,1.0073761227189837
1,0,0,0,0,0,1,1,8,1,0,2,1,1,2,2,East Midlands,1.10604310851768,-1.3322879951954447
0,0,1,0,0,0,0,0,5,1,0,1,1,2,2,2,East Midlands,1.04128098932958,-1.3322879951954447
1,0,1,0,0,1,1,0,9,2,0,2,1,3,3,4,East Midlands,0.86566626813183,-0.8119912597841162
1,0,1,0,0,1,2,1,9,1,0,3,1,4,1,2,East Midlands,0.845766066182211,-0.8119912597841162
1,1,1,1,1,1,2,3,12,2,0,3,1,4,1,1,East Midlands,0.885161933131879,1.0073761227189837
1,0,1,1,1,1,2,1,8,2,0,3,1,5,5,1,East Midlands,0.386397426789398,0.4077488558446815
1,0,1,0,0,1,1,1,10,1,0,4,1,3,1,2,East Midlands,1.92393572299358,-0.8119912597841162
1,1,1,1,1,1,1,1,4,2,1,6,1,4,6,2,East Midlands,0.325872643450689,1.0073761227189837
1,1,1,1,1,1,1,1,4,2,1,5,1,2,1,1,East Midlands,0.896933318521482,1.0073761227189837
1,1,1,1,1,1,2,1,8,1,0,5,1,3,1,2,East Midlands,0.981626315083013,1.0073761227189837
0,0,1,1,1,1,1,1,4,1,1,5,1,1,6,2,East Midlands,0.490813157541506,0.4077488558446815
1,0,1,1,0,1,2,0,14,1,0,2,1,4,3,2,East Midlands,1.58794766168978,-0.07169754637681017
1,1,1,0,1,1,2,3,11,1,0,3,1,4,2,1,East Midlands,0.449805991989902,0.10198396588856312
0,0,1,0,1,1,0,1,8,1,1,6,1,4,4,1,East Midlands,0.610981992474005,-0.31929598673165877
0,0,1,1,1,1,1,2,7,2,1,5,1,4,1,2,East Midlands,0.864867748462389,0.4077488558446815
1,1,1,1,1,1,1,2,7,2,1,5,1,4,1,1,East Midlands,0.864867748462389,1.0073761227189837
1,0,1,0,0,0,0,0,6,1,0,6,1,0,1,2,East Midlands,1.7244577964888,-1.3322879951954447
1,1,1,1,1,1,2,2,11,2,0,4,1,4,5,2,East Midlands,0.413178509713038,1.0073761227189837
1,0,1,0,1,1,2,2,15,1,1,3,1,4,1,1,East Midlands,0.968743415736086,-0.31929598673165877
1,1,1,1,1,1,2,1,10,2,1,5,1,4,3,2,East Midlands,0.377538459360314,1.0073761227189837
1,1,1,1,1,1,2,2,15,2,1,7,1,4,1,1,East Midlands,0.947432597109627,1.0073761227189837
1,0,1,0,1,1,2,2,13,2,1,3,1,3,1,2,East Midlands,1.11189123552746,-0.31929598673165877
1,1,1,0,1,1,1,2,14,1,1,6,1,0,4,2,East Midlands,0.576483139769355,0.10198396588856312
1,1,0,0,0,0,1,2,4,2,0,7,1,0,4,4,East Midlands,0.576862905645116,-0.7517599917374171
1,1,1,1,1,1,2,9,3,1,1,5,1,4,1,1,East Midlands,0.826375113982583,1.0073761227189837
1,1,1,1,1,1,2,0,4,2,1,3,1,4,1,1,East Midlands,0.386397426789398,1.0073761227189837
1,1,1,1,1,1,2,2,3,1,1,6,1,4,1,1,East Midlands,0.817000724705732,1.0073761227189837
1,1,1,1,1,1,2,1,11,1,0,6,1,0,1,2,East Midlands,1.00660271734105,1.0073761227189837
1,1,1,1,1,1,1,2,12,1,0,5,1,4,1,1,East Midlands,0.9465329511415,1.0073761227189837
1,0,1,0,0,1,2,1,3,1,1,3,3,4,1,2,East Midlands,1.69153213236442,-0.8119912597841162
0,0,1,0,0,1,0,1,10,2,0,2,2,5,1,2,East Midlands,2.89350908221623,-0.8119912597841162
0,0,1,1,0,0,0,1,15,1,0,1,1,0,3,2,East Midlands,4.16512395731831,-0.44391011316283324
1,1,1,0,1,0,2,0,10,2,0,4,1,1,1,1,East Midlands,1.76303046976939,-0.26893785481927324
1,1,0,0,1,0,2,2,3,1,1,8,1,2,4,2,East Midlands,0.631333229219238,-0.26893785481927324
1,0,1,0,0,0,1,2,11,2,1,6,1,0,1,2,East Midlands,2.1069807427943,-1.3322879951954447
1,1,1,0,0,1,2,2,12,2,1,7,1,0,4,2,East Midlands,0.576862905645116,-0.350184702862402
1,0,0,0,1,1,1,2,9,1,1,4,1,4,1,1,East Midlands,2.07177342837904,-0.31929598673165877
1,1,1,1,1,1,2,1,5,2,1,5,1,3,6,1,East Midlands,0.448466659260741,1.0073761227189837
1,1,1,1,1,1,1,0,13,2,0,5,1,5,3,1,East Midlands,1.72973549692478,1.0073761227189837
1,0,0,0,0,1,0,1,10,1,0,4,1,2,1,2,East Midlands,3.84787144598716,-0.8119912597841162
1,0,0,0,0,0,0,2,5,1,1,5,1,2,6,2,East Midlands,0.840834781747337,-1.3322879951954447
1,1,1,0,1,1,2,2,7,1,0,4,1,4,3,1,East Midlands,0.517943357094759,0.10198396588856312
1,1,1,1,1,1,2,0,9,2,0,4,1,5,3,2,East Midlands,0.410331576646935,1.0073761227189837
0,0,0,0,0,0,1,0,5,1,1,2,3,0,3,2,East Midlands,0.947406871091232,-1.3322879951954447
1,1,1,0,0,0,0,1,7,2,0,2,1,0,5,1,East Midlands,0.86566626813183,-0.7517599917374171
1,0,1,0,1,0,2,1,13,1,1,3,3,2,5,1,East Midlands,1.06240433653446,-0.7159648149255413
0,0,1,0,0,0,2,1,8,1,1,3,3,5,3,2,East Midlands,0.422883033091105,-1.3322879951954447
1,0,1,0,1,1,2,1,5,1,1,1,3,2,3,4,East Midlands,3.0390893749586,-0.31929598673165877
1,0,1,1,1,1,2,3,9,2,1,1,1,4,3,2,East Midlands,0.732620031625319,0.4077488558446815
1,1,1,0,1,1,1,2,5,2,1,7,1,0,1,2,East Midlands,1.15372581129023,0.10198396588856312
1,1,1,1,1,1,2,1,13,1,1,3,1,5,2,1,East Midlands,0.845766066182211,1.0073761227189837
1,1,1,1,1,1,1,0,14,1,1,6,1,3,6,2,East Midlands,0.576483139769355,1.0073761227189837
1,1,1,1,1,1,1,1,11,1,1,5,1,4,1,2,East Midlands,0.826375113982583,1.0073761227189837
0,1,1,0,0,0,1,0,7,2,1,5,3,4,1,2,East Midlands,0.377538459360314,-0.7517599917374171
