"eu_vote","party_id","income","gender","religion","age","ethnic_group","education","marital_status","social_class","region","wt_vote","ability"
"1","1","3","2","0","1","1","0","3","2","East Midlands",1.11075282986254,-0.290903410526972
"2","1","2","1","1","4","3","1","3","2","East Midlands",0.561521114259241,-0.290903410526972
"1","1","3","1","0","5","1","0","4","2","East Midlands",0.840834781747337,-1.20741027342236
"1","1","9","2","1","6","1","0","1","2","East Midlands",0.919754800604644,-0.317754884940321
"2","1","10","2","1","6","1","4","1","2","East Midlands",0.651745286901378,0.839420258271681
"2","0","13","2","1","2","1","5","1","1","East Midlands",0.844501416833825,-0.290903410526972
"2","2","10","2","1","7","1","0","1","2","East Midlands",1.15372581129023,-0.247353298644551
"1","7","3","1","1","6","1","0","1","1","East Midlands",1.01346575988269,-0.72780497097891
"2","2","4","1","1","6","1","0","1","1","East Midlands",1.7244577964888,0.0665939642829392
"0","2","12","2","0","3","1","3","1","4","East Midlands",0.83151152986019,-0.640977892727688
"1","2","9","1","1","5","1","3","2","4","East Midlands",1.12435822087602,0.839420258271681
"2","1","8","1","0","1","1","4","3","2","East Midlands",0.599612658882043,-0.290903410526972
"2","1","7","2","1","7","1","2","1","2","East Midlands",1.00726583016452,0.0665939642829392
"1","2","13","2","1","4","1","4","1","4","East Midlands",0.946512225573074,-0.290903410526972
"2","2","5","1","0","8","1","0","4","2","East Midlands",0.631333229219238,0.839420258271681
"1","1","8","1","0","2","1","1","2","2","East Midlands",1.10604310851768,-1.20741027342236
"0","0","5","1","0","1","1","2","2","2","East Midlands",1.04128098932958,-1.20741027342236
"1","0","9","2","0","2","1","3","3","4","East Midlands",0.86566626813183,-0.72780497097891
"2","1","9","1","0","3","1","4","1","2","East Midlands",0.845766066182211,-0.72780497097891
"2","3","12","2","0","3","1","4","1","1","East Midlands",0.885161933131879,0.839420258271681
"2","1","8","2","0","3","1","5","5","1","East Midlands",0.386397426789398,0.322001889012642
"1","1","10","1","0","4","1","3","1","2","East Midlands",1.92393572299358,-0.72780497097891
"1","1","4","2","1","6","1","4","6","2","East Midlands",0.325872643450689,0.839420258271681
"1","1","12","2","1","5","1","2","1","1","East Midlands",0.896933318521482,0.839420258271681
"2","1","8","1","0","5","1","3","1","2","East Midlands",0.981626315083013,0.839420258271681
"1","1","4","1","1","5","1","1","6","2","East Midlands",0.490813157541506,0.322001889012642
