gender,age,age_cat,educ,know_gov_name,know_sen1_name,know_sen2_name,know_house_name,knowledge,ability
Male,54,45-54,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,65,65+,PG,1,1,0,0,-0.6371777576891599,-0.6371777576891599
Female,74,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,58,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,53,45-54,4yr,0,1,1,1,-0.31746146881954945,-0.31746146881954945
Male,59,55-64,Some coll.,1,1,0,0,-0.6371777576891599,-0.6371777576891599
Male,70,65+,Some coll.,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Female,73,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,50,45-54,HS,1,0,0,0,-1.0279178082036446,-1.0279178082036446
Female,57,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,54,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,59,55-64,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,61,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,61,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,60,55-64,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,59,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,70,65+,2yr,1,0,1,1,-0.3679230807673252,-0.3679230807673252
Male,74,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,57,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,36,35-45,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,36,35-45,4yr,1,0,0,1,-0.7547958177793298,-0.7547958177793298
Female,48,45-54,Some coll.,0,1,0,0,-0.9880441745417189,-0.9880441745417189
Female,72,65+,Some coll.,1,0,1,1,-0.3679230807673252,-0.3679230807673252
Female,70,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,86,65+,PG,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,49,45-54,Some coll.,0,0,1,0,-1.0233667840004859,-1.0233667840004859
Female,63,55-64,Some coll.,0,0,1,0,-1.0233667840004859,-1.0233667840004859
Female,42,35-45,Some coll.,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,56,55-64,HS,1,0,0,0,-1.0279178082036446,-1.0279178082036446
Male,74,65+,2yr,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Male,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,33,25-34,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,57,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,74,65+,HS,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Female,70,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,39,35-45,2yr,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Female,49,45-54,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Male,61,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,55,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Male,57,55-64,2yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,67,65+,Some coll.,1,1,1,1,0.635433024378626,0.635433024378626
Female,33,25-34,PG,0,0,0,0,-1.6106765816497899,-1.6106765816497899
Female,67,65+,Some coll.,1,1,0,1,-0.3233082531361229,-0.3233082531361229
Male,72,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,47,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Female,69,65+,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,61,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,67,65+,PG,1,0,1,1,-0.3679230807673252,-0.3679230807673252
Female,62,55-64,PG,1,1,1,1,0.635433024378626,0.635433024378626
Female,66,65+,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,53,45-54,4yr,1,1,1,1,0.635433024378626,0.635433024378626
Male,75,65+,HS,1,1,1,1,0.635433024378626,0.635433024378626
Female,64,55-64,2yr,1,1,0,0,-0.6371777576891599,-0.6371777576891599
Male,50,45-54,PG,1,1,1,0,-0.18398097984411615,-0.18398097984411615
Male,35,35-45,PG,1,1,1,1,0.635433024378626,0.635433024378626
