age,gender,education,ethnicity,income,partisanship,eu_ref,k_scale_virus,k_scale_bacteria,k_scale_hot,k_scale_vaccine,k_scale_recover,k_scale_mosquito,k_scale_antibiotics,contact_scale_tested,contact_scale_confident,contact_scale_know_tested,contact_scale_know_passed,contact_scale_treating,numeracy_fractions,numeracy_discount,numeracy_useful,trust_understands,trust_intentions,trust_does_right,distrust_no_respect,distrust_ignore,distrust_unfair,time_on_page,worry_scale_contracting,worry_scale_unwell,worry_scale_fr_fam,worry_scale_finances,worry_scale_job,worry_scale_society,govt_perform_comm,govt_perform_advice,govt_perform_response,govt_perform_adapt,govt_perform_compared,govt_perform_protecting,restrictions_quarantine,restrictions_schools,restrictions_events,restrictions_hospital,restrictions_stop_flights,restrictions_quar_flights,restrictions_soc_dist,restrictions_mask_transport,restrictions_mask_indoors,behavior_hairdresser,behavior_museum,behavior_bars,behavior_public_toilet,behavior_public_transport,behavior_cinemas,behavior_abroad,behavior_worship,behavior_gym,behavior_public_gathering,manip_check,condition,residence,nationality,ethnicity_simple,know,contact,worry,govt_perf,restrict,behavior,numeracy,trust,distrust
35,Male,"Undergraduate degree (e.g., BA)",Indian,8,Labour,I voted Leave,0,0,0,1,1,1,1,0,0,0,0,0,3,2,3,1,2,2,5,5,5,NA,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,-1.22922230330015,-1.43269617716106,0.35076386178548,-0.61273521267665,2.66666666666667,-0.934074901068862,2.01819117897551
28,Male,"Undergraduate degree (e.g., BA)",Black,4,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,1,1,0,6,6,6,1,4,1,4,5,4,NA,1,3,3,2,2,2,2,1,1,2,1,2,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,1.2085476392682,0.57025107322729,-0.266041503411797,-0.836909460334576,0.653457304943914,6,-0.854203955711321,1.05140130502643
39,Male,"Undergraduate degree (e.g., BA)",Mixed,11,Conservative Party,I voted Leave,0,1,0,1,1,1,1,0,0,1,0,0,6,6,6,4,4,4,2,1,2,NA,2,2,2,0,0,1,4,4,2,4,2,4,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,0.460547865513442,0.39131192602455,1.27888711087707,-0.836909460334576,0.653457304943914,6,1.2012493209256,-1.57747642608508
26,Male,A-level (or equivalent),Black,7,Conservative Party,I voted Leave,0,1,1,1,1,1,1,0,0,0,0,0,2,4,6,4,4,3,2,3,2,NA,0,0,1,1,0,1,5,4,3,4,3,4,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-1.60829096761465,1.27888711087707,0.35076386178548,0.653457304943914,4,0.60588091299883,-0.840650458004401
37,Male,GCSE (or equivalent),Black,3,Labour,"I was eligible to vote, but did not",0,1,0,1,1,1,1,0,0,0,0,0,5,5,3,3,3,3,4,4,3,NA,2,2,2,2,1,1,3,3,3,3,3,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.39131192602455,0.469453458655334,-0.836909460334576,-0.61273521267665,4.33333333333333,0.174875760452895,0.440481649117151
36,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Black,6,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,6,6,6,2,2,2,5,4,5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.569873777763838,-1.43269617716106,-0.72988822364663,-0.61273521267665,6,-0.707567328547404,1.55446328442095
35,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Black,6,Labour,I voted Leave,0,1,0,1,0,1,1,0,0,0,0,0,6,6,6,3,4,3,4,4,4,NA,2,2,3,2,2,2,4,4,4,4,4,4,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,-1.124857686528995,-0.476248804454124,0.542226157630451,1.27888711087707,0.35076386178548,0.653457304943914,6,0.411588730106231,0.75147380203735
24,Male,"Undergraduate degree (e.g., BA)",Mixed,5,Labour,I voted Remain,1,1,1,1,1,1,1,0,0,1,0,1,6,6,6,1,2,1,5,5,4,NA,1,1,2,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,1.20587038402259,-0.40656918917133,-1.43269617716106,0.35076386178548,0.653457304943914,6,-1.48030703646599,1.51302502738189
25,Male,"Undergraduate degree (e.g., BA)",Black,7,Labour,I voted Remain,0,1,1,1,0,1,1,0,0,0,0,0,3,3,5,2,3,3,4,3,4,NA,3,3,3,0,3,3,4,4,3,4,4,3,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,NA,control,United Kingdom,United Kingdom,Other,-0.40609045973784896,-0.476248804454124,1.6137917861682,0.80645351844387,0.35076386178548,-0.61273521267665,3.66666666666667,0.00112798586670993,0.470034789417302
47,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Black,8,Green Party,I voted Remain,0,1,0,1,1,1,1,0,0,0,0,0,4,4,4,1,1,1,5,5,5,NA,2,2,3,2,3,2,3,2,2,2,2,2,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.542226157630451,-0.266041503411797,0.35076386178548,0.653457304943914,4,-1.95680751435798,2.01819117897551
34,Male,"Undergraduate degree (e.g., BA)",Indian,9,Liberal Democrats,I voted Remain,0,1,0,1,1,1,1,0,0,0,0,0,5,6,6,4,4,4,1,1,1,NA,0,0,1,0,0,2,5,4,3,4,3,4,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,-1.60829096761465,1.27888711087707,0.35076386178548,0.653457304943914,5.66666666666667,1.2012493209256,-2.61545448327188
41,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Pakistani,4,Labour,I voted Leave,0,1,1,1,1,1,1,0,0,0,0,0,5,6,6,2,2,1,4,5,4,NA,2,1,2,3,3,3,2,2,1,1,1,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.012674512737052,-0.711099143561654,0.35076386178548,-0.61273521267665,5.66666666666667,-1.23103345450765,1.05140130502643
29,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Mixed,6,Labour,"I was not eligible to vote, but would have voted Remain",0,1,1,1,1,1,1,0,0,1,0,0,4,5,6,3,4,3,2,2,2,NA,1,1,2,2,2,2,3,3,2,4,2,3,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,0.460547865513442,-0.40656918917133,0.80645351844387,0.35076386178548,0.653457304943914,5,0.411588730106231,-1.18753996348727
34,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Other,8,Conservative Party,I voted Remain,0,1,1,1,1,1,1,0,1,1,0,0,4,6,6,4,4,4,1,1,1,NA,2,1,2,1,1,2,4,4,3,4,3,4,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,NA,control,NA,United Kingdom,Other,0.47841109568154694,0.460547865513442,-0.012674512737052,1.27888711087707,0.35076386178548,0.653457304943914,5.33333333333333,1.2012493209256,-2.61545448327188
34,Male,GCSE (or equivalent),Mixed,3,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,2,5,5,2,2,2,3,4,4,NA,1,1,2,1,0,2,3,3,2,2,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.40656918917133,-0.758820588623685,0.35076386178548,-0.61273521267665,4,-0.707567328547404,0.368309484450557
56,Male,A-level (or equivalent),Mixed,4,Conservative Party,I voted Leave,0,1,1,1,1,1,1,0,1,1,0,0,5,6,6,4,5,5,2,2,2,NA,3,3,3,2,3,2,4,5,3,4,3,3,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,0.460547865513442,1.6137917861682,0.80645351844387,0.35076386178548,0.275111599347801,5.66666666666667,2.332759842169,-1.18753996348727
33,Male,"Postgraduate degree (e.g., MA, MSc, PhD)",Indian,7,Liberal Democrats,I voted Remain,0,1,1,1,1,1,1,0,0,0,1,0,5,5,6,1,4,2,2,4,3,NA,1,0,3,1,0,3,1,2,1,1,2,2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,0.373599441351396,-0.68875631400841,-0.711099143561654,0.35076386178548,0.653457304943914,5.33333333333333,-0.359213311702064,-0.257205825640622
49,Male,"Undergraduate degree (e.g., BA)",Mixed,2,Conservative Party,I voted Remain,0,1,1,1,0,1,1,0,0,0,0,0,3,3,5,3,3,3,3,3,3,NA,3,3,3,2,2,3,3,4,3,3,3,2,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,-0.40609045973784896,-0.476248804454124,1.6137917861682,0.109008854862144,0.35076386178548,-0.61273521267665,3.66666666666667,0.174875760452895,-0.163023990239364
28,Male,"Undergraduate degree (e.g., BA)",Mixed,8,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,1,1,0,5,6,6,2,2,3,4,4,4,NA,2,3,3,3,1,3,2,1,2,2,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,1.2085476392682,0.980948052732125,-0.758820588623685,-1.42222881648173,0.653457304943914,5.66666666666667,-0.235395323329264,0.75147380203735
31,Male,A-level (or equivalent),White,4,Brexit Party,I voted Leave,0,1,0,1,0,1,1,0,0,0,0,0,4,5,5,1,3,2,4,4,3,NA,0,0,2,1,2,2,2,2,3,2,1,2,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,NA,control,Poland,United Kingdom,White,-1.124857686528995,-0.476248804454124,-1.34535842401841,-0.266041503411797,-1.49368278420392,1.43641623760841,4.66666666666667,-0.635603532311199,0.440481649117151
20,Male,"Undergraduate degree (e.g., BA)",Mixed,7,Conservative Party,I voted Leave,0,1,1,1,1,1,1,0,0,0,0,0,6,6,6,3,3,4,4,3,3,NA,2,3,3,3,2,3,3,4,4,4,5,4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,0.980948052732125,1.27888711087707,0.35076386178548,1.43641623760841,6,0.600391898492345,0.179364505373351
35,Male,"Undergraduate degree (e.g., BA)",Indian,3,Liberal Democrats,I voted Remain,0,0,0,1,0,0,1,0,0,0,0,0,2,4,3,4,5,4,4,4,3,NA,2,2,3,2,3,2,3,4,4,3,4,4,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-1.124857686528995,-0.476248804454124,0.542226157630451,0.841543428125356,-0.72988822364663,0.653457304943914,3,1.64768139012258,0.440481649117151
18,Male,A-level (or equivalent),Black,2,Labour,"I was not eligible to vote, but would have voted Leave",0,1,0,1,1,1,1,0,0,0,0,0,6,6,4,2,2,3,4,3,4,NA,0,0,0,0,0,0,4,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,-1.97569903264372,0.841543428125356,-2.03879438148036,-0.61273521267665,5.33333333333333,-0.235395323329264,0.470034789417302
21,Male,"Undergraduate degree (e.g., BA)",Black,3,Labour,"I was not eligible to vote, but would not have voted",0,1,0,1,1,1,1,0,0,0,0,0,6,6,3,1,1,1,5,5,5,NA,1,2,2,3,1,2,3,2,1,2,2,2,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.0148571350245476,-0.266041503411797,0.35076386178548,-0.61273521267665,5,-1.95680751435798,2.01819117897551
20,Male,A-level (or equivalent),Pakistani,2,SNP,"I was not eligible to vote, but would have voted Remain",0,1,1,1,1,1,1,0,1,0,0,0,6,6,6,2,4,3,3,4,2,NA,0,0,3,3,3,2,1,4,1,3,3,2,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-1.1353429071287,0.109008854862144,-1.49368278420392,0.653457304943914,6,0.231678464004934,-0.19002059566143
31,Male,"Undergraduate degree (e.g., BA)",Mixed,3,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,5,5,5,2,2,2,4,3,4,NA,1,1,2,1,1,3,1,1,1,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.40656918917133,-0.758820588623685,-0.72988822364663,-0.61273521267665,5,-0.707567328547404,0.470034789417302
38,Female,"Postgraduate degree (e.g., MA, MSc, PhD)",Mixed,3,Labour,I voted Leave,0,1,0,1,1,1,1,0,0,1,0,0,3,3,5,2,2,4,3,3,2,NA,2,2,1,0,0,2,3,4,2,2,2,4,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,0.460547865513442,0.242453320653121,0.499905767924618,-0.631210854979936,-0.61273521267665,3.66666666666667,0.170219160585156,-0.443944911404698
21,Female,A-level (or equivalent),Mixed,8,Liberal Democrats,"I was not eligible to vote, but would have voted Leave",0,1,1,1,1,1,1,0,0,0,0,0,4,4,6,2,2,2,3,4,2,NA,1,1,3,2,0,3,3,3,2,2,2,2,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-0.247447914764378,-0.266041503411797,0.35076386178548,0.653457304943914,4.66666666666667,-0.707567328547404,-0.19002059566143
46,Female,A-level (or equivalent),Chinese,4,Labour,I voted Remain,0,1,0,1,1,1,1,0,0,1,0,0,2,3,4,3,4,3,3,3,3,NA,1,1,2,2,1,2,1,2,1,1,1,2,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,0.460547865513442,-0.40656918917133,-0.711099143561654,0.35076386178548,-0.61273521267665,3,0.411588730106231,-0.163023990239364
23,Male,"Undergraduate degree (e.g., BA)",Pakistani,3,Liberal Democrats,"I was eligible to vote, but did not",0,1,1,1,0,1,1,0,0,0,0,1,3,3,3,3,3,3,4,3,3,NA,0,0,1,1,0,2,3,3,2,2,3,3,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,-0.40609045973784896,0.370704037623811,-1.60829096761465,0.141657406557449,-1.49368278420392,0.653457304943914,3,0.174875760452895,0.179364505373351
27,Female,"Undergraduate degree (e.g., BA)",Indian,5,Conservative Party,I voted Remain,0,1,0,1,1,1,1,0,1,0,0,0,6,6,5,2,2,2,4,4,4,NA,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.39131192602455,-0.266041503411797,0.35076386178548,1.23698157272214,5.66666666666667,-0.707567328547404,0.75147380203735
23,Male,A-level (or equivalent),Other,2,No party,"I was not eligible to vote, but would have voted Leave",0,1,1,1,1,1,1,0,0,0,0,0,6,6,6,3,3,3,3,3,3,NA,0,0,0,1,0,1,1,3,1,2,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,-1.97569903264372,-0.758820588623685,-0.836909460334576,-0.61273521267665,6,0.174875760452895,-0.163023990239364
35,Female,A-level (or equivalent),Indian,1,Labour,I voted Remain,0,1,1,1,1,1,1,0,0,0,0,0,1,5,5,3,4,3,2,1,1,NA,3,3,3,3,0,3,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,0.47841109568154694,-0.476248804454124,1.6137917861682,-0.304741160755354,0.35076386178548,-0.61273521267665,3.66666666666667,0.411588730106231,-2.01844301935556
20,Male,A-level (or equivalent),Black,1,Labour,"I was not eligible to vote, but would have voted Remain",0,1,0,1,1,1,0,1,0,0,0,0,5,5,5,2,3,2,3,4,3,NA,2,2,3,1,0,2,1,1,2,2,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.542226157630451,-0.758820588623685,-0.836909460334576,1.23698157272214,5,-0.423893164514084,0.0841065831950797
39,Male,GCSE (or equivalent),Mixed,4,Labour,I voted Remain,0,1,0,1,1,1,1,0,0,0,0,0,4,5,5,2,3,2,4,2,2,NA,2,2,2,2,2,1,3,3,2,3,3,3,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,control,United Kingdom,United Kingdom,Other,-0.34621092711436813,-0.476248804454124,0.39131192602455,0.469453458655334,-0.836909460334576,-0.61273521267665,4.66666666666667,-0.423893164514084,-0.345794717072796
57,Female,GCSE (or equivalent),Black,3,No party,"I was eligible to vote, but did not",0,1,0,0,0,1,1,0,0,0,0,0,2,3,3,2,3,2,4,4,4,NA,3,3,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,NA,control,United Kingdom,United Kingdom,Other,-1.8625505167009841,-0.476248804454124,1.6137917861682,-0.266041503411797,0.35076386178548,-0.61273521267665,2.66666666666667,-0.423893164514084,0.75147380203735
