"age","gender","education","ethnicity","income","partisanship","eu_ref","condition","ethnicity_simple","know","contact","worry","govt_perf","restrict","behavior","numeracy","trust","distrust"
35,"Male","Undergraduate degree (e.g., BA)","Indian","8","Labour","I voted Leave","control","Other",-0.346210927114368,-0.476248804454124,-1.22922230330015,-1.43269617716106,0.35076386178548,-0.61273521267665,2.66666666666667,-0.934074901068862,2.01819117897551
28,"Male","Undergraduate degree (e.g., BA)","Black","4","Labour","I voted Remain","control","Other",0.478411095681547,1.2085476392682,0.57025107322729,-0.266041503411797,-0.836909460334576,0.653457304943914,6,-0.854203955711321,1.05140130502643
39,"Male","Undergraduate degree (e.g., BA)","Mixed","11","Conservative Party","I voted Leave","control","Other",-0.346210927114368,0.460547865513442,0.39131192602455,1.27888711087707,-0.836909460334576,0.653457304943914,6,1.2012493209256,-1.57747642608508
26,"Male","A-level (or equivalent)","Black","7","Conservative Party","I voted Leave","control","Other",0.478411095681547,-0.476248804454124,-1.60829096761465,1.27888711087707,0.35076386178548,0.653457304943914,4,0.60588091299883,-0.840650458004401
37,"Male","GCSE (or equivalent)","Black","3","Labour","I was eligible to vote, but did not","control","Other",-0.346210927114368,-0.476248804454124,0.39131192602455,0.469453458655334,-0.836909460334576,-0.61273521267665,4.33333333333333,0.174875760452895,0.440481649117151
36,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Black","6","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.569873777763838,-1.43269617716106,-0.72988822364663,-0.61273521267665,6,-0.707567328547404,1.55446328442095
35,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Black","6","Labour","I voted Leave","control","Other",-1.12485768652899,-0.476248804454124,0.542226157630451,1.27888711087707,0.35076386178548,0.653457304943914,6,0.411588730106231,0.75147380203735
24,"Male","Undergraduate degree (e.g., BA)","Mixed","5","Labour","I voted Remain","control","Other",0.478411095681547,1.20587038402259,-0.40656918917133,-1.43269617716106,0.35076386178548,0.653457304943914,6,-1.48030703646599,1.51302502738189
25,"Male","Undergraduate degree (e.g., BA)","Black","7","Labour","I voted Remain","control","Other",-0.406090459737849,-0.476248804454124,1.6137917861682,0.80645351844387,0.35076386178548,-0.61273521267665,3.66666666666667,0.00112798586670993,0.470034789417302
47,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Black","8","Green Party","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,0.542226157630451,-0.266041503411797,0.35076386178548,0.653457304943914,4,-1.95680751435798,2.01819117897551
34,"Male","Undergraduate degree (e.g., BA)","Indian","9","Liberal Democrats","I voted Remain","control","Other",-0.346210927114368,-0.476248804454124,-1.60829096761465,1.27888711087707,0.35076386178548,0.653457304943914,5.66666666666667,1.2012493209256,-2.61545448327188
41,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Pakistani","4","Labour","I voted Leave","control","Other",0.478411095681547,-0.476248804454124,-0.012674512737052,-0.711099143561654,0.35076386178548,-0.61273521267665,5.66666666666667,-1.23103345450765,1.05140130502643
29,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Mixed","6","Labour","I was not eligible to vote, but would have voted Remain","control","Other",0.478411095681547,0.460547865513442,-0.40656918917133,0.80645351844387,0.35076386178548,0.653457304943914,5,0.411588730106231,-1.18753996348727
34,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Other","8","Conservative Party","I voted Remain","control","Other",0.478411095681547,0.460547865513442,-0.012674512737052,1.27888711087707,0.35076386178548,0.653457304943914,5.33333333333333,1.2012493209256,-2.61545448327188
34,"Male","GCSE (or equivalent)","Mixed","3","Labour","I voted Remain","control","Other",0.478411095681547,-0.476248804454124,-0.40656918917133,-0.758820588623685,0.35076386178548,-0.61273521267665,4,-0.707567328547404,0.368309484450557
56,"Male","A-level (or equivalent)","Mixed","4","Conservative Party","I voted Leave","control","Other",0.478411095681547,0.460547865513442,1.6137917861682,0.80645351844387,0.35076386178548,0.275111599347801,5.66666666666667,2.332759842169,-1.18753996348727
33,"Male","Postgraduate degree (e.g., MA, MSc, PhD)","Indian","7","Liberal Democrats","I voted Remain","control","Other",0.478411095681547,0.373599441351396,-0.68875631400841,-0.711099143561654,0.35076386178548,0.653457304943914,5.33333333333333,-0.359213311702064,-0.257205825640622
49,"Male","Undergraduate degree (e.g., BA)","Mixed","2","Conservative Party","I voted Remain","control","Other",-0.406090459737849,-0.476248804454124,1.6137917861682,0.109008854862144,0.35076386178548,-0.61273521267665,3.66666666666667,0.174875760452895,-0.163023990239364
28,"Male","Undergraduate degree (e.g., BA)","Mixed","8","Labour","I voted Remain","control","Other",0.478411095681547,1.2085476392682,0.980948052732125,-0.758820588623685,-1.42222881648173,0.653457304943914,5.66666666666667,-0.235395323329264,0.75147380203735
31,"Male","A-level (or equivalent)","White","4","Brexit Party","I voted Leave","control","White",-1.12485768652899,-0.476248804454124,-1.34535842401841,-0.266041503411797,-1.49368278420392,1.43641623760841,4.66666666666667,-0.635603532311199,0.440481649117151
20,"Male","Undergraduate degree (e.g., BA)","Mixed","7","Conservative Party","I voted Leave","control","Other",0.478411095681547,-0.476248804454124,0.980948052732125,1.27888711087707,0.35076386178548,1.43641623760841,6,0.600391898492345,0.179364505373351
35,"Male","Undergraduate degree (e.g., BA)","Indian","3","Liberal Democrats","I voted Remain","control","Other",-1.12485768652899,-0.476248804454124,0.542226157630451,0.841543428125356,-0.72988822364663,0.653457304943914,3,1.64768139012258,0.440481649117151
18,"Male","A-level (or equivalent)","Black","2","Labour","I was not eligible to vote, but would have voted Leave","control","Other",-0.346210927114368,-0.476248804454124,-1.97569903264372,0.841543428125356,-2.03879438148036,-0.61273521267665,5.33333333333333,-0.235395323329264,0.470034789417302
21,"Male","Undergraduate degree (e.g., BA)","Black","3","Labour","I was not eligible to vote, but would not have voted","control","Other",-0.346210927114368,-0.476248804454124,0.0148571350245476,-0.266041503411797,0.35076386178548,-0.61273521267665,5,-1.95680751435798,2.01819117897551
