age,gender,education,party,income,cc_worried,cc_climate_changing,cc_causes,cc_scientists_agree,cc_emotion_hope,cc_emotion_fear,cc_increase_taxes,cc_subs_renewable,cc_spend_to_protect,cc_help_dev_countries,cc_environment_british,cc_moral_concern,country,epcc_data$education_uk,education_fr,education_no,education_ge,survey_wt,knowledge,knowledge_binary
65plus,male,degree,no_party,17500_24999,3,1,0,0,1,1,1,3,4,4,2,3,2,NA,degree,NA,NA,0.8349,-0.49018722391434655,0
65plus,male,degree,cons,25000plus,2,0,1,0,3,3,4,4,4,1,4,3,2,NA,degree,NA,NA,0.8349,-0.4187727315479352,0
45-54,female,degree,cons,up_to_9499,2,1,0,0,4,1,2,5,4,5,3,4,2,NA,degree,NA,NA,0.5689,-0.49018722391434655,0
65plus,female,alevel,other,17500_24999,3,1,0,0,1,1,1,4,3,3,4,1,2,NA,alevel,NA,NA,0.9872,-0.49018722391434655,0
15-24,male,gcse,no_party,25000plus,2,1,0,1,2,2,4,5,4,3,1,2,2,NA,gcse,NA,NA,1.0727,0.12751998108451623,0
25-34,female,degree,labour,9500_17499,3,1,1,0,2,3,3,4,4,4,4,4,2,NA,degree,NA,NA,0.8211,0.3531676391989697,0
45-54,male,gcse,labour,25000plus,3,1,1,0,2,2,1,2,4,2,5,3,2,NA,gcse,NA,NA,0.9275,0.3531676391989697,0
15-24,male,gcse,other,25000plus,2,1,1,0,2,3,2,4,4,4,3,2,2,NA,gcse,NA,NA,0.5642,0.3531676391989697,0
55-64,female,gcse,labour,25000plus,4,1,0,0,2,3,1,2,4,4,5,4,2,NA,gcse,NA,NA,1.7314,-0.49018722391434655,0
25-34,female,degree,cons,9500_17499,5,1,1,1,2,4,4,5,2,4,3,5,2,NA,degree,NA,NA,0.8033,0.9984553862772432,1
45-54,female,degree,cons,25000plus,3,1,1,0,2,3,4,5,2,4,3,4,2,NA,degree,NA,NA,0.7861,0.3531676391989697,0
45-54,female,degree,no_party,25000plus,4,1,1,0,2,3,2,3,5,4,1,3,2,NA,degree,NA,NA,0.973,0.3531676391989697,0
