"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","eu_nat_identity","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schengen","mig_know_asylum","mig_know_syrians","gen_know_sum","mig_know_sum","gen_know_prop","mig_know_prop","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2","education_binary","gen_imm_sum","know_score_general","know_score_imm","know_score_general_binary","know_score_imm_binary","know_score_combo_binary","ps_value_general","weight.ATE_general","ps_value_imm","weight.ATE_imm","ps_value_combo","weight.ATE_combo"
"male",55,"uk","7","1","3",7,3,5,5,3,4,8,9,10,7,1,1,4,3,7,2,2,4,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,20,0.729090370818878,-0.504331780470674,"1","0","0",0.68227754420588,1.46567919242297,0.324963781019427,1.48140199278519,0.262409065389235,1.48140199278519
"male",68,"uk","2","0","2",4,3,3,3,3,3,2,0,0,10,1,7,1,1,100,3,3,3,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1.0528,1.0514,1.0156,0,15,-0.94861939049062,-0.941440527749612,"0","0","0",0.352618903881304,1.54468520319081,0.194547821399741,1.24153863701484,0.106835950900076,1.24153863701484
"female",65,"spain","2","0","1",3,4,4,4,3,4,4,4,0,7,4,4,3,7,20,2,3,2,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1,1,1,0,19,-0.94861939049062,-0.941440527749612,"0","0","0",0.211155504815711,1.26767697068911,0.125190781223698,1.14310638083903,0.0477937752542063,1.14310638083903
"female",55,"spain","4","1","1",0,3,4,4,3,4,7,7,4,5,1,4,2,4,15,1,3,3,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,0,NA,0.729090370818878,-0.504331780470674,"1","0","0",0.286927146795468,3.48520525564921,0.131152692021402,1.15095021969572,0.0617373174839227,1.15095021969572
"male",53,"spain","5","0","2",9,4,4,4,4,4,4,5,3,4,2,1,3,3,20,2,3,4,1,1,1,1,1,0,0,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,20,0.729090370818878,-0.504331780470674,"1","0","0",0.479289703355663,2.08642078684076,0.237130605704461,1.31084037120592,0.150019179798168,1.31084037120592
"female",52,"spain","4","1","66",6,5,4,5,5,5,9,7,4,7,6,7,6,6,30,2,2,3,0,0,1,0,0,0,0,1,1,0.333333333333333,0.25,NA,NA,NA,NA,2,1.1083,1.107,1.0861,0,NA,-0.94861939049062,-0.941440527749612,"0","0","0",0.228591007836385,1.29632919781664,0.120380771606043,1.13685554808282,0.0589289446784589,1.13685554808282
"male",60,"spain","6","1","2",9,3,5,5,4,4,7,5,2,9,2,2,3,3,5,1,3,3,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,0.927,0.9589,0.8974,1,21,0.729090370818878,1.14645059101092,"1","1","1",0.60394611418227,1.65577685908946,0.268003780300297,3.73129065149568,0.201129730543656,3.73129065149568
"male",66,"spain","6","0","2",7,4,4,4,4,4,7,5,4,6,3,3,5,5,10,2,2,3,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.905,0.8991,0.8866,1,20,0.230219397408275,-0.504331780470674,"0","0","0",0.60167220832585,2.5104951773439,0.250735147463076,1.3346415444607,0.189814037659662,1.3346415444607
"female",61,"spain","5","0","2",8,4,4,4,4,4,6,5,6,5,1,1,5,5,20,2,4,3,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,0.9376,0.9362,0.9041,0,20,0.729090370818878,0.543292489902306,"1","0","0",0.334811454616961,2.98675563876405,0.170838588703855,1.20603779478449,0.0877827248304611,1.20603779478449
"male",62,"spain","4","1","2",5,5,4,4,5,4,6,6,3,0,2,2,6,6,50,2,3,3,1,1,1,1,0,0,0,3,2,1,0.5,NA,NA,NA,NA,2,1.0893,1.0936,1.0673,0,22,0.729090370818878,-0.504331780470674,"1","0","0",0.477635865601697,2.09364512177129,0.216301860927665,1.27600149871952,0.14897747742575,1.27600149871952
"female",73,"germany","2","0","1",5,5,4,4,4,4,10,10,5,7,4,2,4,6,8,3,3,3,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9725,0.9661,0.9366,0,21,0.230219397408275,0.543292489902306,"0","0","0",0.244044576596329,1.32282932173107,0.138148886273806,1.16029321546795,0.0567892674508028,1.16029321546795
"female",70,"uk","6","0","66",5,3,4,4,4,2,5,2,5,2,4,5,5,4,25,4,3,5,1,0,1,0,0,0,1,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,1,17,0.230219397408275,0.19884063021269,"0","0","0",0.395858523441904,1.65524142738417,0.161353065761571,1.19239689453834,0.0995461958170851,1.19239689453834
"male",74,"uk","3","0","6",7,4,4,4,4,4,8,6,8,4,3,3,6,5,10,4,4,4,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1.0448,1.0477,1.0412,0,20,0.729090370818878,0.543292489902306,"1","0","0",0.489326979063819,2.04362326784679,0.15525001527816,1.18378220548803,0.132424139584428,1.18378220548803
"male",44,"germany","2","1","1",3,4,5,5,5,4,8,8,5,6,1,1,4,5,7,2,2,2,1,0,1,0,1,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,0,23,0.230219397408275,0.19884063021269,"0","0","0",0.294056556668494,1.41654407225708,0.1748009677841,1.21182885699067,0.077235236902289,1.21182885699067
"female",43,"sweden","7","1","3",6,3,4,3,3,4,6,8,5,7,2,3,2,5,2,2,4,3,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.9583,0.9323,0.8543,1,17,0.230219397408275,0.543292489902306,"0","0","0",0.430499770102023,1.7559255422586,0.199892078465741,1.24983139534781,0.112740578114518,1.24983139534781
"female",30,"sweden","6","1","3",6,3,4,4,3,4,7,6,5,8,1,3,2,4,14,2,2,4,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,1,18,0.230219397408275,0.543292489902306,"0","0","0",0.343732766073876,1.52376950776209,0.181397910993816,1.22159473256908,0.0861259469486862,1.22159473256908
"male",59,"sweden","7","0","3",7,1,5,1,1,1,0,0,0,10,7,7,1,1,35,5,5,5,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,1,9,0.729090370818878,1.14645059101092,"1","1","1",0.673019950289046,1.48584005506898,0.303665055638055,3.29310199324324,0.243237408115362,3.29310199324324
"female",62,"uk","0","0","1",0,5,5,5,5,5,5,0,10,10,4,5,5,5,25,4,5,5,0,0,0,0,0,0,0,1,0,0.333333333333333,0,NA,NA,NA,NA,2,1,1,1,0,25,-1.35759211319193,-0.941440527749612,"0","0","0",0.191351772865594,1.23663166064641,0.0913296290086479,1.10050908659981,0.0462273533461207,1.10050908659981
"male",61,"uk","3","1","3",7,3,3,3,3,3,7,5,6,6,4,4,4,4,40,2,3,3,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1.1207,1.119,1.1041,0,15,0.729090370818878,0.543292489902306,"1","0","0",0.536303010452111,1.86461753991831,0.309831376153396,1.44892127148084,0.204158065269109,1.44892127148084
"female",47,"uk","6","1","1",1,5,5,5,5,5,10,10,10,5,1,1,7,7,3,1,3,2,1,0,1,0,0,0,0,2,1,0.666666666666667,0.25,NA,NA,NA,NA,2,1,1,1,1,25,0.230219397408275,-0.941440527749612,"0","0","0",0.366379234833998,1.5782311044336,0.153820368597617,1.18178216880816,0.0755948677670132,1.18178216880816
"female",45,"germany","2","1","5",3,5,5,5,5,4,6,4,6,8,3,5,4,5,40,3,2,2,1,1,1,1,0,0,1,3,2,1,0.5,NA,NA,NA,NA,2,1,1,1,0,24,0.729090370818878,0.543292489902306,"1","0","0",0.119287991379881,8.38307350498869,0.0923473731724273,1.10174307928265,0.0239784557545163,1.10174307928265
"male",35,"romania","7","1","3",9,5,3,5,3,5,7,8,5,7,2,3,6,5,2,2,3,2,0,1,0,1,1,1,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.6422,0.6473,0.6592,1,21,-0.947460262711766,0.0848716597143804,"0","0","0",0.582966283547963,2.39788765404298,0.27683589718588,1.38281200091183,0.190966631431767,1.38281200091183
"female",55,"spain","6","0","6",4,4,4,4,4,4,7,7,6,4,1,1,3,4,16,1,2,2,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,1,1,1,1,20,-0.94861939049062,0.543292489902306,"0","0","0",0.358528487049207,1.55891568029259,0.0937468019899346,1.10344438198484,0.0666072614399997,1.10344438198484
"female",40,"spain","3","1","1",5,4,5,4,4,4,8,8,5,9,1,1,7,5,20,2,3,2,1,0,1,1,0,0,1,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,1,1,1,0,NA,0.230219397408275,0.543292489902306,"0","0","0",0.205877989832991,1.25925234056879,0.125439820277696,1.14343189089346,0.0449435849822818,1.14343189089346
"male",47,"sweden","6","1","4",3,5,4,5,3,3,7,8,5,5,1,1,3,5,10,4,2,4,1,1,1,1,1,1,1,3,4,1,1,NA,NA,NA,NA,2,1,1,1,1,20,0.729090370818878,1.14645059101092,"1","1","1",0.314793731843701,3.17668332893144,0.156137593787941,6.40460747306094,0.0776227977002418,6.40460747306094
"male",75,"poland","6","0","2",7,5,4,5,5,5,10,10,10,1,1,1,7,7,3,1,1,1,1,1,1,1,0,1,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,1,24,0.729090370818878,1.14645059101092,"1","1","1",0.648087438454662,1.54300167024447,0.271983579837588,3.67669254370849,0.220824371137781,3.67669254370849
"male",68,"germany","4","0","1",2,4,4,4,3,3,5,7,5,5,2,3,4,4,10,1,1,5,1,0,1,1,1,0,1,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,1.0014,1.0018,0.988,0,18,0.230219397408275,0.543292489902306,"0","0","0",0.507710553897079,2.03132528620355,0.203805532886333,1.25597456564244,0.13585138586706,1.25597456564244
"female",35,"germany","2","0","1",5,3,3,3,3,2,4,4,5,5,3,4,3,4,80,2,2,2,1,1,0,0,0,0,0,3,0,1,0,NA,NA,NA,NA,2,1,1,1,0,14,0.231583256036239,-0.941440527749612,"0","0","0",0.122657819848634,1.13980613564878,0.0914818798915307,1.10069351162815,0.0262460514618919,1.10069351162815
"female",62,"poland","7","0","2",5,5,4,5,5,5,10,10,10,5,1,3,4,5,10,2,2,2,1,0,1,1,1,0,0,2,3,0.666666666666667,0.75,NA,NA,NA,NA,2,0.8991,0.8888,0.857,1,24,0.230219397408275,-0.504331780470674,"0","0","0",0.406021682365272,1.68356313742576,0.154515071919153,1.18275319498585,0.0916152658133112,1.18275319498585
"male",77,"uk","5","0","2",6,4,5,5,4,3,8,8,8,5,2,2,6,6,3,4,4,4,1,1,1,1,1,0,1,3,3,1,0.75,NA,NA,NA,NA,2,1,1,1,0,21,0.729090370818878,0.543292489902306,"1","0","0",0.605615394624861,1.65121297918695,0.289431490816743,1.40732383588096,0.223399271197074,1.40732383588096
"female",27,"uk","6","1","3",0,5,4,4,5,5,10,8,10,6,1,1,7,7,20,1,3,3,1,0,1,1,1,1,1,2,4,0.666666666666667,1,NA,NA,NA,NA,2,1,1,1,1,23,0.230219397408275,1.14645059101092,"0","1","0",0.321638312805397,1.47413985618136,0.169352505608082,5.90484325230011,0.0784523389107306,1.20388011370823
"male",42,"spain","2","0","66",7,2,4,4,3,5,4,1,1,4,6,6,6,6,9,4,5,4,1,0,0,1,0,1,0,2,2,0.666666666666667,0.5,NA,NA,NA,NA,2,0.9261,0.9203,0.9213,0,18,-0.155671114193257,0.0848716597143804,"0","0","0",0.213945755529666,1.27217683389501,0.141717708617293,1.16511782899422,0.0625155973708276,1.16511782899422
"female",29,"uk","3","0","5",5,5,4,5,5,5,5,7,7,5,1,2,4,4,60,2,3,4,0,0,1,1,0,0,1,1,2,0.333333333333333,0.5,NA,NA,NA,NA,2,0.9623,0.9711,1.0134,0,24,-0.94861939049062,0.543292489902306,"0","0","0",0.109690026863516,1.12320431105257,0.0780959200844686,1.084711546229,0.0188408230894767,1.084711546229
"male",21,"uk","6","1","3",5,2,3,1,4,2,2,2,5,5,2,3,2,3,40,4,2,3,1,1,0,1,0,0,0,3,1,1,0.25,NA,NA,NA,NA,2,1,1,1,1,12,0.231583256036239,-0.504331780470674,"0","0","0",0.480941157309781,1.92656384547294,0.245370443538706,1.32515350271904,0.143169249101943,1.32515350271904
