"gender","age","nationality","education_ISCED","in_paid_work","religion","ideology_left_right","gen_imm_escape","gen_imm_work","gen_imm_study","gen_imm_family_war","gen_imm_marriage","gen_imm_ess_good_bad","gen_imm_ess_jobs","gen_imm_ess_welfare","gen_imm_ess_safety","imm_anger","imm_fear","imm_hope","imm_sympathy","imm_size","free_move_protect_jobs","free_move_protect_services","gen_know_switzerland","gen_know_ep","gen_know_party","mig_know_free_move","mig_know_schenger","mig_know_asylum","mig_know_syrians","W1_EX1","W1_EX2","W2_EX1","W2_EX2","W2_CC","WEIGHT","WEIGHTEX1","WEIGHTEX2"
"male",55,"uk",7,1,3,7,3,5,5,3,4,8,9,10,7,1,1,4,3,7,2,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"male",68,"uk",2,2,2,NA,3,3,3,3,3,NA,0,0,10,1,7,1,1,100,3,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1.0528,1.0514,1.0156
"male",22,"other",3,2,NA,2,3,3,4,3,3,3,2,3,10,5,6,2,3,20,4,NA,1,1,1,0,NA,0,1,NA,NA,NA,NA,2,1.0583,1.0726,1.2359
"male",56,"spain",7,1,NA,8,5,5,5,5,5,10,10,10,0,1,1,7,7,20,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",35,"other",6,2,2,5,5,NA,5,5,NA,7,10,5,7,1,2,5,6,10,1,2,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",30,"other",6,1,NA,6,3,4,4,3,4,10,10,8,2,1,2,5,7,40,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",66,"spain",5,1,NA,7,3,4,5,3,5,8,8,5,4,1,2,1,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",20,"other",4,1,NA,5,5,5,5,5,5,10,9,10,5,1,3,7,7,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"fenale",56,"other",7,1,2,9,4,5,4,4,4,10,10,NA,6,2,3,7,7,50,3,4,1,NA,1,1,0,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",55,"other",5,2,2,6,3,4,4,3,3,7,8,6,5,1,3,5,5,20,3,3,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,2,1,1,1
"fenale",20,"other",4,1,NA,5,4,4,5,4,4,10,10,10,5,1,1,6,7,20,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
"male",45,"other",6,1,2,7,2,3,4,3,2,5,5,8,7,5,4,5,4,25,3,4,1,1,1,1,1,1,0,NA,NA,NA,NA,2,1,1,1
"fenale",57,"other",4,1,NA,8,4,4,4,4,4,8,5,0,7,5,4,2,5,25,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
